,date,group,home_team,away_team,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,home_team_continent,away_team_continent,past_win,past_draw,past_lose,past_win_rate,past_draw_rate,past_lose_rate,phase,match,home_isAfrica,home_isAsia,home_isEurope,home_isNorthAmerica,home_isSouthAmerica,home_isOceania,away_isAfrica,away_isAsia,away_isEurope,away_isNorthAmerica,away_isSouthAmerica,away_isOceania
0,21/11/2022,A,Qatar,Ecuador,50,44,,,Asia,South America,1,1,1,0.33,0.33,0.33,group matches,1,0,1,0,0,0,0,0,0,0,0,1,0
1,21/11/2022,A,Senegal,Netherlands,18,8,,,Africa,Europe,0,0,0,0.33,0.33,0.33,group matches,2,1,0,0,0,0,0,0,0,1,0,0,0
2,21/11/2022,B,England,IR Iran,5,20,,,Europe,Asia,0,0,0,0.33,0.33,0.33,group matches,3,0,0,1,0,0,0,0,1,0,0,0,0
3,21/11/2022,B,USA,Wales,16,19,,,North America,Europe,1,1,0,0.5,0.5,0.0,group matches,4,0,0,0,1,0,0,0,0,1,0,0,0
4,22/11/2022,D,France,Australia,4,38,,,Europe,Oceania,3,1,1,0.6,0.2,0.2,group matches,5,0,0,1,0,0,0,0,0,0,0,0,1
5,22/11/2022,D,Denmark,Tunisia,10,30,,,Europe,Africa,1,0,0,1.0,0.0,0.0,group matches,6,0,0,1,0,0,0,1,0,0,0,0,0
6,22/11/2022,C,Mexico,Poland,13,26,,,North America,Europe,1,3,0,0.25,0.75,0.0,group matches,7,0,0,0,1,0,0,0,0,1,0,0,0
7,22/11/2022,C,Argentina,Saudi Arabia,3,51,,,South America,Asia,0,1,0,0.0,1.0,0.0,group matches,8,0,0,0,0,1,0,0,1,0,0,0,0
8,23/11/2022,F,Belgium,Canada,2,41,,,Europe,North America,0,0,0,0.33,0.33,0.33,group matches,9,0,0,1,0,0,0,0,0,0,1,0,0
9,23/11/2022,E,Spain,Costa Rica,7,31,,,Europe,North America,2,1,0,0.67,0.33,0.0,group matches,10,0,0,1,0,0,0,0,0,0,1,0,0
10,23/11/2022,E,Germany,Japan,11,24,,,Europe,Asia,1,1,0,0.5,0.5,0.0,group matches,11,0,0,1,0,0,0,0,1,0,0,0,0
11,23/11/2022,F,Morocco,Croatia,22,12,,,Africa,Europe,0,0,1,0.0,0.0,1.0,group matches,12,1,0,0,0,0,0,0,0,1,0,0,0
12,24/11/2022,G,Switzerland,Cameroon,15,43,,,Europe,Africa,0,0,0,0.33,0.33,0.33,group matches,13,0,0,1,0,0,0,1,0,0,0,0,0
13,24/11/2022,H,Uruguay,Korea Republic,14,28,,,South America,Asia,5,0,1,0.83,0.0,0.17,group matches,14,0,0,0,0,1,0,0,1,0,0,0,0
14,24/11/2022,H,Portugal,Ghana,9,61,,,Europe,Africa,1,0,0,1.0,0.0,0.0,group matches,15,0,0,1,0,0,0,1,0,0,0,0,0
